,created_at,original,translated
0,2020-10-14 23:26,"Este domingo tenemos la cita más importante de nuestra historia reciente. 

¡No faltes! ¡Vamos Bolivia!
#PrimeroLaGente https://t.co/qCLLRj0x8i","This Sunday we have the most important event in our recent history. 

Don't miss it! Come on Bolivia!
#PrimeroLaGente https://t.co/qCLLRj0x8i"
1,2020-10-14 21:22,"Quiero constuir una Bolivia mejor donde primero estén ustedes, la gente; la gente que construye, trabaja y quiere un futuro mejor. 

¡Gracias por la confianza, no voy a defraudarlos! #PrimeroLaGente https://t.co/MzjLDSasen","I want to get a better Bolivia where you people are first; people who build, work and want a better future. 

Thank you for the trust, I'm not going to let you down! #PrimeroLaGente https://t.co/MzjLDSasen"
2,2020-10-14 16:41,"😃Faltan 4 días para derrotarlos en las urnas y para dar inicio a la transformación de Bolivia. 

#PrimeroLaGente https://t.co/fabbtZBkQD","😃Faltan 4 days to defeat them at the ballot box and to start the transformation of Bolivia. 

#PrimeroLaGente https://t.co/fabbtZBkQD"
3,2020-10-14 15:38,"Sigue la entrevista con @CFValverde, aquí el link 👉 https://t.co/14TiSEjV44 
#PrimeroLaGente https://t.co/ghqkrP25GD","Follow the interview with @CFValverde, here is the 👉 https://t.co/14TiSEjV44 
#PrimeroLaGente https://t.co/ghqkrP25GD"
4,2020-10-14 15:29,"Ya estamos en vivo con @CFValverde, sigue la transmisión 👉 
https://t.co/BSgMk9UGCT

Gracias por el espacio. 
#PrimeroLaGente https://t.co/hySVuvyMqx","We're already live with @CFValverde, follow the broadcast 👉 
https://t.co/BSgMk9UGCT

Thanks for the space. 
#PrimeroLaGente https://t.co/hySVuvyMqx"
5,2020-10-14 02:52,"Tenemos que ir a votar con convicción en el corazón porque nos estamos jugando el futuro de #Bolivia. 

¡Vota 🗳con toda la esperanza! ¡Este 18 de octubre tenemos una cita con la historia! https://t.co/aCPabwD7Id",
6,2020-10-14 02:10,"Que @LuchoXBolivia no se haga el distraído tiene mucho que explicar y que @evoespueblo no se haga ilusiones, si vuelve a Bolivia será para rendir cuentas por sus actos. 

¡Estamos a un paso de cerrar la faena👍! ¡Este 18 de octubre vota 🗳por Comunidad Ciudadana! https://t.co/PNTqtYO90F","That @LuchoXBolivia not be distracted has much to explain and that @evoespueblo no illusions will be made, if he returns to Bolivia it will be to be held accountable for his actions. 

We're one step away from closing the job👍! This October 18th votes 🗳for Citizen Community! https://t.co/PNTqtYO90F"
7,2020-10-14 01:07,"Comunidad Ciudadana tiene programa y visión de Estado para construir una Bolivia mejor, mucho mucho mejor. 

Pido tu voto 🗳 para hacerlo posible y para cerrarle la puerta al pasado. 

¿Evo de nuevo? #NeverInTheLife https://t.co/BVpmadi26Q","Comunidad Ciudadana has program and vision of state to build a better Bolivia, much better. 

I ask for your 🗳 to make it possible and to close the door to the past. 

Evo again? #NeverInTheLife https://t.co/BVpmadi26Q"
8,2020-10-13 23:00,Ya estamos en vivo desde #SantaCruz 👉 https://t.co/zsg6B6UZbk https://t.co/mBXcXMaBny,We've been live since #SantaCruz 👉 https://t.co/zsg6B6UZbk https://t.co/mBXcXMaBny
9,2020-10-13 22:43,"¡Estamos listos! 
#PrimeroLaGente https://t.co/MyggujHw8H","We're ready! 
#PrimeroLaGente https://t.co/MyggujHw8H"
