,created_at,original,translated
0,2020-09-21,"Creemos en un mejor sistema de salud, en mejores condiciones para los médicos, en cambios reales. 
Gracias la sector salud de Santa Cruz por brindarnos su apoyo y proclamar a nuestro candidato Luis Fernando Camacho como su futuro presidente. 
¡Cada día somos más los que creemos!","We believe in a better health system, better conditions for doctors in real changes.
Thanks health sector Santa Cruz for showing your support and proclaim our candidate Luis Fernando Camacho as its future president.
Every day we are more who believe!"
1,2020-09-22,"La Jefatura Departamental de Campaña de Creemos en Santa Cruz realizó la entrega de materiales a los candidatos uninominales. Creemos es un equipo comprometido con Bolivia. ¡Seguimos avanzando!
#CreoEnVos
#TuVozAlPoder","Departmental Headquarters Campaign in Santa Cruz We made the delivery of materials to the uninominal candidates. We are a committed team with Bolivia. We are moving ahead!
#I believe in you
#TuVozAlPoder"
2,2020-09-23,"#EnVivo Suscripción de acuerdo de la Federación del Transporte de Carga Pesada Internacional de Santa Cruz con la Alianza Creemos.
#CreoEnVos
#TuVozAlPoder","#EnVivo subscription agreement of the Federation of Freight Transportation Heavy International Santa Cruz with the Alliance believe.
#I believe in you
#TuVozAlPoder"
3,2020-09-24,"¡Felices 210 años al motor de Bolivia, felices 210 años Santa Cruz! 
#SantaCruzCree #CreemosBolivia","Happy 210 years engine Bolivia, Santa Cruz happy 210 years!
#SantaCruzCree #CreemosBolivia"
4,2020-09-24,"¡El corazón de la amazonía boliviana está de fiesta! ¡Felicidades Pando! 
#PandoCree #CreemosBolivia","The heart of the Bolivian Amazon is celebrating! Congratulations Pando!
#PandoCree #CreemosBolivia"
5,2020-09-24,"#EnVivo  Caravana multitudinaria en el municipio de Cotoca apoyando a nuestros candidatos de la C-47.
#CreoEnVos
#TuVozAlPoder",
6,2020-10-05,A LA OPINIÓN PÚBLICA,A PUBLIC OPINION
7,2020-10-12,#EnVivo Conferencia de Prensa en la que presentamos nuestra posición respecto a las agresiones provocadas por militantes del MAS a los candidatos de la C-48.,
8,2020-10-13,"Información a tu alcance
Creemos informa es la línea gratuita donde se puede obtener toda la información referente al tema electoral. 
Atención de Lunes a Domingo
Horario: 8:00 hrs a 17:00 hrs
Despeja tus dudas al : 800102700","Information at your fingertips
We report is the free online where you can get all the information about the election issue.
Attention from Mondays to Sundays
Hours: 8:00 hrs to 17:00 hrs
Clear your doubts on: 800102700"
9,2020-10-14,"#EnVivo Conferencia de prensa informando sobre cierre de campaña y presentación de plataforma de Control Electoral.
#CreoEnVos
#TuVozAlPoder","#EnVivo press conference reporting on campaign closing and presentation platform Electoral Control.
#I believe in you
#TuVozAlPoder"
